EID2,GMPD2,Database_agreement,systematic_searchOksanen,Reviewer_Abstract,Include_Abstract,Reviewer_FullText,Include_from_fulltext,DataExtracted,inline_citation,CITATION_ID,TITLE,YEAR,JOURNAL,VOLUME,ISSUE,PAGES,PAGES_start,PAGES_end,page_count,DOI,PMID,Publication_type,open_access,access_method,time_to_access_days,ABSTRACT,FULLTEXT.,Language,exclusion_abstract,exclusion_fulltext,exclusion_data,SDM_ids_dataset_only,SDM_ids_train,SDM_ids_test,authors,Notes,id_method
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Borecka et al. 2008,Occurence of Echinococcus multilocularis in red foxes (Vulpes vulpes) in southern Poland,2008,Helminthologia,45,1,24-27,24,27,4,10.2478/s11687-008-0004-5,none,article,no,Author Link,0,"The prevalence of Echinococcus multilocularis in 214 red foxes (Vulpes vulpes) in the southern part of Poland (Ma√Ö‚Äöopolskie voivodship) was evaluated post mortem in 2005. Infected foxes were found in 8 districts within 17 examined, with the prevalence from 10.0% to 63.9%(a mean 20.1% in the whole study area). The highest prevalence (41.2% and 63.9%) was revealed in two districts, in the south and the east of the province, respectively. The high prevalence of E. multilocularis in red foxes in the region previously recognised as √¢‚Ç¨¬¶",Yes,English,,,,GMPD_039,"GMPD_033, GMPD_040, GMPD_041, GMPD_042, GMPD_043, GMPD_034, GMPD_035",GMPD_036,NA,,SystematicSearch
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Bagrade et al. 2008,Echinococcus multilocularis is a frequent parasite of red foxes (Vulpes vulpes) in Latvia,2008,Helminthologia,45,4,157-161,157,161,5,10.2478/s11687-008-0032-1,none,article,yes,publisher website,0,"45 red foxes (Vulpes vulpes) from various regions of Latvia were examined by necropsy between 2003 and 2008 for the presence and infection intensity of Echinococcus multilocularis. The overall prevalence was 35.6%, with the intensity of infection ranging from 1 to 1438. Although a limited number of foxes were examined, the prevalence was high and infected animals were found throughout the country. Considering the increasing number of humans infected with echinococcosis in Latvia since 2002, the situation is highly suggestive √¢‚Ç¨¬¶",Yes,English,,,,GMPD_026,"GMPD_023, GMPD_024, GMPD_027, GMPD_031, GMPD_032","GMPD_025, GMPD_028, GMPD_029, GMPD_030",NA,,SystematicSearch
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Dubinsky et al. 2001,Prevalence of Echinococcus multilocularis in red foxes in the Slovak Republic,2001,Helminthologia,38,4,215-219,215,219,5,none,none,article,no,Author Link,0,The occurrence of Echinococcus multilocularis in red foxes was investigated in the Slovak Republic in 2000. Red foxes were sampled in 8 regions and 71 districts. The ave-rage sampling density was 13.8 red foxes per 1000 km √¢‚Ç¨≈ì. The parasite was widespread in 46 districts representing 71.1% of the territory. The prevalence of E. multilocularis determined by necropsy was 74%. The total prevalence determined by necropsy and coproantigen test was 24.8%. The highest prevalence were observed in the regions neighbouring with the √¢‚Ç¨¬¶,Yes,English,,,,,"GMPD_057, GMPD_058, GMPD_059, GMPD_060, GMPD_061, GMPD_062, GMPD_063, GMPD_064",,NA,,SystematicSearch
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Dubinsky et al. 1999,Echinococcus multilocularis in Slovak Republic: The first record in red foxes (Vulpes vulpes),1999,Helminthologia,36,2,105-110,105,110,6,none,none,article,no,UGA Library,,Echinococcus multilocularis was found for the first time in the Slovak Republic in 6 of 56 feaces of red foxes (Vulpes vulpes)(prevalence 10.7%). Echinococcus spp. ccproantigens were detected using sandwich enzyme-linked immunosorbent assay (Ag-ELISA) in 6 of 28 red foxes (positivity 24.4%). The gravid proglottides of E multilocularis or cestode eggs of the Taenia-type were detected in five samples and eggs alone in one sample. The species of E multilocularis was detected in three samples and comfirmed by using the nested PCR. This √¢‚Ç¨¬¶,Yes,English,,,,,GMPD_056,,NA,,SystematicSearch
no,yes,1,no,not-needed,yes,RR,yes,yes,no,Snabel et al. 2006,Genetic structuring and differentiation of Echinococcus multilocularis in Slovakia assessed by sequencing and isoenzyme studies.,2006,Helminthologia,43,,196-202,196,202,7,10.2478/s11687-006-0037-6,none,article,yes,publisher website,0,"Nucleotide sequencing of the mitochondrial cytochrome c oxidase subunit 1 (CO1) gene and isoenzyme analysis were used to survey the genetic variability in Echinococcus multilocularis populations from Slovakia. A sample of 12 isolates acquired from 10 different districts from red foxes exhibited identical sequences. Compared with the previously described E. multilocularis variants, one base substitution was consistently observed relative to the M1 variant (detected in China, Alaska, North America, Japan) and three base substitutions were recorded relative to the M2 variant (detected in Germany) in the CO1 fragment. These data, along with the recently gathered data from French isolates, are indicative of a genetically unique population occurring in Central and Western Europe. Electrophoretic examination of enzymes produced by 14 gene loci revealed intraspecific polymorphism only with the glucose-phosphate isomerase (two distinct patterns) and the mannosephosphate isomerase (four genotypes composed of three alleles) enzyme systems. To allow a fast species differenttiation of E. multilocularis and E. granulosus (specifically, the G7 genotype occurring in Slovakia), discriminative electrophoretic characters between the species were obtained by isoenzyme analysis. Fixed genetic differences between the species were detected in the glucose-phosphate isomerase, esterase and aldolase systems, and partial differences were detected in four additional systems. ",Yes,English,,,location size,GMPD_393,,,NA,,Snowballing
no,no,0,yes,NA,TBD,,yes,No,,Szabova et al. 2007,Prevalence of important zoonotic parasites in dog populations from the Slovak Republic,2007,Helminthologia,44,4,170-176,170,176,7,10.2478/s11687-007-0027-3 ,,article,yes,publisher website,0,"Dogs serve as the vectors of serious parasitic diseases with a zoonotic character. In a one-year-study, we collected and examined 752 faeces of dogs. In these faecal samples, 11 different species of intestinal endoparasites were detected, as follows: Toxocara spp. eggs (21.9 %), eggs from the family Ancylostomatidae (18.4 %), coccidia oocysts (10.4%), eggs of Trichuris spp. (10.0 %), Toxascaris leonina (7.3 %), Capillaria spp. (5.9 %), Taenia type eggs (3.2 %) and Giardia spp. cysts (1.6 %). Echinococcus multilocularis was detected in one sample. Toxocara spp. eggs were dominant in all dog categories, but in hunting dogs they occurred at the highest rate (45.1 %). Faecal samples of dogs from rural ecosystems showed 66.0 % prevalence of intestinal helminths. Presence of Toxocara spp. eggs was found in 25.0 % of sand samples.",Yes,English,,,,,,,NA,,SystematicSearch
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Miterpakova et al. 2009,Endoparasites of red fox (Vulpes vulpes) in the Slovak Republic with the emphasis on zoonotic species Echinococcus multilocularis and Trichinella spp.,2009,Helminthologia,46,2,73-79,73,79,7,10.2478/s11687-009-0015-x,none,article,yes,publisher website,0,"Due to specific geographical localization, climatic and geomorphologic conditions, several serious parasitic diseases circulate in the territory of the Slovak Republic that makes this area an ideal model territory of the central European red fox system. The red fox is an important reservoir host of parasites, which can be spread to another animals and humans. Our study was aimed at determining the current prevalence of certain parasites in red foxes from the entire territory of the Slovak Republic and identifies some ecological factors √¢‚Ç¨¬¶",Yes,English,,,,"GMPD_bg_4001, GMPD_bg_4202, GMPD_345","GMPD_bg_3990, GMPD_340, GMPD_341, GMPD_343, GMPD_344, GMPD_346, GMPD_347, GMPD_348",GMPD_342,NA,identified but not included in pseudoabsence dataset,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Kolarova et al. 1996a,"Echinococcus multilocularis Leuckart, 1863 in the Czech Republic",1996,Helminthologia,33,2,59-65,59,65,7,none,,article,no,UGA Library,,"During the period of 1994-1995 we have examined a total of 178 foxes (Vulpes vulpes) from 4 areas of the Czech Republic. In the small intestine of one fox from the locality Zbytiny (district Prachatice) hundreds of cestodes of Echinococcus mulitlocularis (Taeniidae, Echinoccinae) were found. The study presents the fibndings and description of adult parasites. Our result supports the possibility of autochtonous alveolar echinococcosis (hydatidosis) in the Czech Republic. ",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Romig et al. 1999,Echinococcus multilocularis in animal hosts : New data from western Europe,1999,Helminthologia,36,3,185–91,185,191,7,none,,Journal Article,no,UGA Library,,,,English,,Not a primary research,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Kolarova L,Echinococcus multilocularis: new epidemiological insights in Central and Eastern Europe,1999,Helminthologia,36,3,193–200,193,200,8,none,,Journal Article,no,UGA Library,,,,English,,Not a primary research,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Petavy et al. 1996,Contributions to knowledge on the helminths parasitizing several Arvicolidae (Rodentia) in Auvergne (France),1996,Helminthologia,33,1,51-58,51,58,8,none,,article,no,UGA Library,,"In the localities of Espinat and Allanche (Auvergne district), 37 Microtus arvalis, 1 C/ethrionomys glareo/us and 22 Arvico/a terrestris were dissected. In these hosts, IO parasitic worms species were found. The following adults parasitiz.ed M. arvalis: Anoplocepha/oides denta­ ta, Paranoplocepha/a sp. (Cestoda) and Trichuris muris (Nematoda). As larval stages, there were species: Echino­ coccus multilocu/aris, Taenia crassiceps, T. polyacantha,
T. taeniaeformis, T. mustelae and Cladotaenia globifera.
In A . terrestris, the cestodes E. multilocu/aris (larva) and
P. dentata (adult) were found. Cl. glareolus was parasi­ tized by the larval cestodes Cl. globifera and by adult ces­ todes of Catenotaenia sp. Investigations have confirmed the circulation of E. multilocularis in the area study and corrected some previous knowledge on helminths rodent species in above localities.
",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Miterpakova et al. 2003,Spatial and temporal analysis of the Echinococcus multilocularis occurrence in the Slovak Republic,2003,Helminthologia,40,4,217-226,217,226,10,none,,article,no,UGA Library,,"A total of 2 130 red foxes (Vulpes vulpes) were captured and examined for intestinal infection with Echinococcus multilocularis in the period of 2000-2002 across the whole territory of the Slovak Republic. The total prevalence of E. multilocularis determined by necropsy and coproantigen test has been 30.7%. The prevalence increased from 24.8% in 2000 to 32.8% in 2002. During the whole surveyed period, the highest prevalence rates were always recorded in the regions neighbouring Poland and the Czech Republic. The â€¦",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,"Knapp J,Staebler S,Bart JM,Stien A,Yoccoz NG,Drogemuller C,Gottstein B,Deplazes P","Echinococcus multilocularis in Svalbard, Norway: microsatellite genotyping to investigate the origin of a highly focal contamination",2012,"Infection, genetics and evolution: journal of molecular epidemiology and evolutionary genetics in infectious diseases",12,6,1270–4,1270,1274,5,10.1016/j.meegid.2012.03.008,,Journal Article,no,Author Link,0,,,English,,No epidemiological data,,,,,NA,,SystematicSearch
yes,yes,2,yes,not-needed,yes,RR,yes,yes,yes,Knapp et al. 2008,Genetic diversity of Echinococcus multilocularis on a local scale,2008,"Infection, genetics and evolution: journal of molecular epidemiology and evolutionary genetics in infectious diseases",8,3,367-373,367,373,7,10.1016/j.meegid.2008.02.010,18406214,article,no,Author Link,0,"Echinococcusmultilocularis is the causative agent of human Alveolar Echinococcosis (AE), and it is one of the most lethal zoonotic infections in the Northern Hemisphere. In France, the eastern and central regions are endemic areas; Franche-Comt√É¬©, Lorraine and Auvergne are particularly contaminated. Recently, several human cases were recorded in the French Ardennes area, a region adjacent to the western border of the E. multilocularis range in France. A previous study in this focus described a prevalence of over 50% of the parasite in red foxes. The present study investigated the genetic diversity of adult worms collected from foxes in a 900km(2) area in the Ardennes. Instead of a conventional mitochondrial target (ATP6), two microsatellite targets (EmsB and NAK1) were used. A total of 140 adult worms isolated from 25 red foxes were genotyped. After hierarchical clustering analyses, the EmsB target enabled us to distinguish two main assemblages, each divided into sub-groups, yielding the differentiation of six clusters or assemblage profiles. Thirteen foxes (52% of the foxes) each harbored worms from at least two different assemblage profiles, suggesting they had become infected by several sources. Using the NAK1 target, we identified 3 alleles, two found in association with the two EmsB assemblages. With the NAK1 target, we investigated the parasite breeding system and the possible causes of genetic diversification. Only one fox harbored hybrid worms, indicative of a possible (and rare) occurrence of recombination, although multiple infections have been observed in foxes. These results confirm the usefulness of microsatellite targets for assessing genetic polymorphism in a geographically restricted local range.",Yes,English,,,,,GMPD_131,,NA,,SystematicSearch
